Timestamp,Username,Your name,Your language,What country (or countries) is/was your language primarily spoken in (originally)?,What language family does your language belong to?,"Level of endangerment (according to Ethnologue, or according to your grammar if that has been deemed more reliable)","1. How many consonant phonemes does your language have in total (including affricates, non-pulmonic consonants, etc.)?","2. How many vowel phonemes does your language have in total (including diphthongs, triphthongs, long vowels, nasalized vowels, etc.)? (Do not include vowels with distinct tones as being distinct from each other.)",3. How many phonemes (consonants + vowels) does your language have in total?,4. Which of the following consonant phonemes does your language have?,5. Which of the following less common consonant phonemes does your language have?,6. Does your language have any of the following types of consonants (as phonemes)?,7. Which of the following common vowel phonemes does your language have?,8. Which of the following less common vowel phonemes does your language have?,9. Does your language have any vowels of the following types (as phonemes)? ,10. Which of the following phonetic and phonological properties does your language have?,11. Which of the following characteristics of syllables are allowed in your language?
2025/09/26 7:10:00 AM MDT,01afc31f5f3a1046,60d3acfe8229ad33,Semelai,Malaysia,Austroasiatic,6a,32,20,52,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/j/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/","/pʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/cʰ/;/kʰ/;/c/;/ɟ/;/ç/",Aspirated;Glottalized,/a/;/e/;/o/;/i/;/u/;/ə/;/ʉ/,/ɛ/;/ɔ/;/ɒ/,Nasalized vowels,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/09/26 1:48:00 PM MDT,1955d6e363648d3f,953efedfc19d637d,Nganasan ,Russia ,Uralic,8b,21,8,29,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/);/ɲ/",/ð/;/c/;/ɟ/,Palatalized,/a/;/e/;/o/;/i/;/u/;/ə/;/ɨ/;/y/,None of the above,Diphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/09/26 8:16:21 PM MDT,96f286b1a0817124,7202fce3e3e70b4e,Kunbarlang,Australia ,Australian Aboriginal languages (Gunwinyguan),7,22,5,27,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/ŋ/;/ʔ/;/ɲ/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/);/ʈ/;/ɳ/;/ɻ/;/ɭ/;/c/",None of the above,/a/;/e/;/o/;/i/;/u/,None of the above,None of the above,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/09/28 11:31:33 AM MDT,2fd174fdf2e4abce,bc6726844af6bf3d,Unua,Vanuatu,Austronesian languages,6b,20,8,28,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/tʃ/;/r/ (including dental, alveolar, or postalveolar /r/)","/β/;/ɾ/ (including dental, alveolar, or postalveolar /ɾ/);/ɣ/",Affricates;Labialized;Pre-nasalized,/a/;/e/;/o/;/i/;/u/;/ø/;/ɵ/;/ʉ/,None of the above,None of the above,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC);CC coda (syllable with two coda consonants, e.g., VCC or CVCC)"
2025/09/28 10:31:09 PM MDT,489afca6d9b14ed1,48069ed8a878c604,Puyuma (Nanwang dialect),Southeastern Taiwan,Austronesian,8a,18,4,22,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/)",/ʈ/;/ɖ/;/ɭ/,None of the above,/a/;/i/;/u/;/ə/,None of the above,None of the above,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/09/29 12:17:44 PM MDT,c5cfbdda0d31eafe,5a1f2f9812b060e7,Kokota,Solomon Islands,Oceanic,6b,22,5,27,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/h/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/f/;/z/;/v/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/);/ɣ/",None of the above,/a/;/e/;/o/;/i/;/u/,None of the above,None of the above,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC)"
2025/09/30 11:43:48 AM MDT,7eee4bc0bddcdc2f,6d9d3ec4d28b315d,Koyee,Nepal,Sino-Tibetian,6b,26,18,44,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/r/ (including dental, alveolar, or postalveolar /r/);/ts/","/pʰ/;/bʰ/;/tʰ/ (including dental, alveolar, or postalveolar /tʰ/);/dʰ/ (including dental, alveolar, or postalveolar /dʰ/);/kʰ/;/gʰ/;/dz/;/ɭ/;/ɦ/",Affricates;Labialized;Palatalized;Velarized;Aspirated;Glottalized,/a/;/e/;/o/;/i/;/u/;/ʌ/,None of the above,Nasalized vowels;Long vowels;Diphthongs,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/09/30 4:45:49 PM MDT,2dc2b69cddb24db0,9934c5254f10a8a4,Pangkhua ,"Bangladesh, India",Sino-Tibetan language family,6b,21,18,39,"/n/ (including dental, alveolar, or postalveolar /n/);/m/;/k/;/j/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/ŋ/;/ʔ/;/f/;/r/ (including dental, alveolar, or postalveolar /r/);/v/",/pʰ/;/kʰ/,Affricates;Aspirated,/e/;/i/;/u/;/ə/;/ʌ/,/aᶠ/;/ɒ/,Diphthongs;Triphthongs,"There is tone (including ""pitch accent"", but not including intonation) in the language.;There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
2025/09/30 5:40:12 PM MDT,c61c033f7fbb0763,4dca9546ce161595,Gyeli,South Cameroon & North Equatorial Guinea,Niger-Congo,6b,29,23,52,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/l/ (including dental, alveolar, or postalveolar /l/);/w/;/b/;/d/ (including dental, alveolar, or postalveolar /d/);/g/;/ŋ/;/ʔ/;/tʃ/;/f/;/ɲ/;/z/;/ts/;/dʒ/;/v/",/β/;/dz/;/ɣ/,Affricates;Pre-nasalized,/a/;/e/;/o/;/i/;/u/,/ɛ/;/ɔ/,Nasalized vowels;Long vowels;Diphthongs,"There are ""complex consonant"" phonemes (NOTE: ""complex consonants"" are any of those on the following list: clicks, ejectives, implosives, glottalized (have the glottal stop as a diacritic), labial-velar stops, dental fricatives (""th"" sounds), lateral fricatives, lateral affricates, uvular consonants, pharyngeal(ized) consonants).;There is tone (including ""pitch accent"", but not including intonation) in the language.","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);CC onset (syllable with a two onset consonants, e.g., CCV or CCVC);CCC onset (syllable with three onset consonants, e.g., CCCV or CCCVC)"
2025/09/30 8:52:43 PM MDT,ea4086725dce2259,76ada40e5abc0fb7,Alto Perené,Peru,Arawak,6b,17,12,29,"/n/ (including dental, alveolar, or postalveolar /n/);/t/ (including dental, alveolar, or postalveolar /t/);/m/;/k/;/j/;/s/;/p/;/w/;/h/;/ʃ/;/ɲ/;/ts/","/ɾ/ (including dental, alveolar, or postalveolar /ɾ/)",Affricates;Labialized;Palatalized;Velarized;Aspirated;Glottalized,/a/;/e/;/o/;/i/,None of the above,Long vowels;Diphthongs,"There is stress (may also be called ""accent"") in the language, and stress is mostly predictable (follows a set pattern).","V (onsetless and codaless syllable);C onset (syllable with a single onset consonant, e.g., CV or CVC);C coda (syllable with a single coda consonant, e.g., VC or CVC)"
