Timestamp,Username,Your name,Your language,Please list the publisher and author of your grammar,"Would you recommend the grammar that you worked with to future students of LIN 360 (on the merits of its clarity, organization, etc.)?",1. Which of the following morphological types does your language fall into *primarily*?,2. What sorts of morphological word-formation strategies does your language use?,3. Which of these best describes the frequency of different types of AFFIXATION in your language?,4. Which of these best describes the frequency of NON-affixational word-formation strategies in your language?,"5. What sorts of functional morphology does your language have (whether affixal, through a morphological process, or free i.e. as a function word)?",6. What is(/are) the basic word order(s) of your language?,7. How does your language pattern with respect to headedness?
2023/11/22 1:11:13 PM EST,05b2de6183471212,c38acd31cf124d54,Jejueo,"Publisher: University of Hawai'i Press; Author: Changyong Yang, Sejung Yang, William O’Grady","Yes, my grammar was fine to work with (even if not perfect)","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Compounding,Exclusively suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV,Consistently head-final
2023/11/22 3:32:49 PM EST,6f3ba94cae07167c,34ced3098482e915,Warao,Lincom Europa; Andres Romero-Figeroa,"Yes, my grammar was great to work with","Fusional (= synthetic and has a good number of ""fused"" morphemes)",Suffixation;Prefixation,Mostly suffixing,All word-formation involves affixation (NO non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",OSV,Consistently head-final
2023/11/24 4:07:24 PM EST,89145240fe42efd2,b43e5fc6e61d01a2,Bardi,Mouton/ Claire Bowern,"Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Prefixation;Infixation;Compounding;Suppletion;Reduplication,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)","No basic word order (i.e., at least seemingly free word order)",Mostly head-final
2023/11/25 11:22:59 AM EST,d4a6643d89635b97,ae0a6f20b95fd9c2,Māori,"Routledge, Winifred Bauer","Yes, my grammar was fine to work with (even if not perfect)",Analytic (= has derivational but not inflectional morphology),Suffixation;Compounding;Stress or tone shift;Reduplication,Exclusively suffixing,Most word-formation involves non-affixal word-formation strategies,"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive)",VSO,Consistently head-initial
2023/11/25 5:48:57 PM EST,06504dcf32129919,e1bc58e0e69f10e1,Evenki,Author: Igor Nedjalkov; Published by Routledge,"Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Stress or tone shift,Exclusively suffixing,All word-formation involves affixation (NO non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV,Consistently head-final
2023/11/26 8:59:13 AM EST,30b555c992a9d7dd,1e79fe9e7614602e,Coastal Marind,De Gruyter/Mouton; Bruno Olsson,"Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Prefixation;Compounding;Internal change;Reduplication,Mostly prefixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)","No basic word order (i.e., at least seemingly free word order)",Mostly head-final
2023/11/26 3:38:54 PM EST,86e3487429c05a08,ce554821e6ee681f,Domari,"De Gruyter Inc., Yaron Matras","Yes, my grammar was fine to work with (even if not perfect)","Fusional (= synthetic and has a good number of ""fused"" morphemes);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Prefixation,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SVO;SOV,Mostly head-initial
2023/11/27 11:18:33 AM EST,f5b71b24f12c22f1,ab9255f68a47ad66,Pite Saami,Joshua Wilbur  - Language Science Press,"Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Compounding;Internal change;Suppletion;Conversion,Exclusively suffixing,All word-formation involves affixation (NO non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)","No basic word order (i.e., at least seemingly free word order)",Mostly head-initial
2023/11/27 6:36:16 PM EST,fa464f5c0587d692,8f787cfbb011ab67,Lepcha,"By: Heleen Plaisier, Publisher: BRILL, 2007","Yes, my grammar was fine to work with (even if not perfect)","Fusional (= synthetic and has a good number of ""fused"" morphemes);Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Compounding;Reduplication,Mostly suffixing,There's an equal mix of affixation and non-affixal word-formation strategies,"Nominalizers;Verbalizers;Verbal inflectional morphology (e.g., tense, aspect, mood)",SOV;OSV,Consistently head-final
2023/11/28 1:41:08 AM EST,6c5793859d1932c6,b25b0c9ceab59eb4,Ute,"T. Givón, John Benjamins Publishing Company","Yes, my grammar was great to work with","Agglutinating (= synthetic and has few/no ""fused"" morphemes, potentially just fused morphemes of the most common type, which is person+number)",Suffixation;Prefixation;Compounding;Stress or tone shift;Reduplication,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)",SOV,Consistently head-initial
2023/11/29 12:33:28 AM EST,ec9fe27525f1e3d8,55176d96092d2637,Tariana,Publisher: Cambridge University Press | Author: Alexandra Y. Aikhenvald,"Yes, my grammar was fine to work with (even if not perfect)","Fusional (= synthetic and has a good number of ""fused"" morphemes);Polysynthetic (= expresses whole sentence meanings in complex words; most sentences have words with 5+ morphemes)",Suffixation;Prefixation;Compounding;Suppletion;Stress or tone shift,Mostly suffixing,Most word-formation involves affixation (rather than non-affixal word-formation strategies),"Nominalizers;Verbalizers;Other verbal derivational morphology (e.g., causative, applicative, passive, reflexive);Verbal inflectional morphology (e.g., tense, aspect, mood);Nominal inflectional morphology (e.g., case, number, gender)","No basic word order (i.e., at least seemingly free word order)",Mostly head-final
2023/11/29 11:27:49 AM EST,3c8bfa599b71218a,07f6e2cc61eb1291,Khatso,"Mouton Grammar Library, Chris Donlay","Maybe (e.g., perhaps only for a student with a linguistics background)",Isolating,Compounding;Reduplication,None of the above; my language has no (or VERY little) affixation.,All word-formation involves non-affixal word-formation strategies,Nominalizers,SOV,Consistently head-final
2023/11/29 11:36:09 AM EST,dd17374d10186905,46d465f299687e10,Xong,"De Gruyter Mouton, Adam Sposato","Yes, my grammar was great to work with",Analytic (= has derivational but not inflectional morphology),Prefixation;Compounding;Reduplication,Exclusively prefixing,Most word-formation involves non-affixal word-formation strategies,Nominalizers,SVO,Mostly head-final
